id,region,language,revision,status,size,sha1,sha256,notes
firered-jp-rev0,Japan,Japanese,0,candidate,16777216,04139887b6cd8f53269aca098295b006ddba6cfe,1e4af44b0c75cc8649bfb8649dc4ae5850bf5358bd6b9cd0bf779c99f9db1486,"Title POKEMON FIRE; game code BPRJ; checksum 0x63"
firered-jp-rev1,Japan,Japanese,1,candidate,16777216,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,cec5fc4dbe38cd8026bd6664a1a041d9dc91e8d4249bab04e7bde70c3cdf4e06,"Title POKEMON FIRE; game code BPRJ; checksum 0x62"
firered-en-rev0,USA,English,0,candidate,16777216,d3b806453369b4b086c792eb3c05a02f00057f50,b59a65bb439b7dfdf2ffbbe5102be03de2501a71f5e081eec1c76f9d2ef3ba00,"Title POKEMON FIRE; game code BPRE; checksum 0x68"
firered-en-rev1,USA/Europe,English,1,candidate,16777216,c4d0119d9bcb36687f41a8f7ca72ab7af60558e4,6d306e01ba04907efaa0611a32fee3b440a1e8ac8b4e0acdd223dc9281afa170,"Title POKEMON FIRE; game code BPRE; checksum 0x67"
